epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,452.754,1.42491,2.17629,1.26941,0.59838,0.48682,0.52211,0.30533,1.38269,1.52417,1.22071,0.00333241,0.00333241,0.00333241
2,885.159,1.51491,1.83705,1.32022,0.61635,0.44245,0.49515,0.27204,1.51698,1.51795,1.28131,0.00653376,0.00653376,0.00653376
3,1311.86,1.6492,1.89116,1.41661,0.54966,0.4009,0.42289,0.21947,1.66086,1.67918,1.39921,0.00960311,0.00960311,0.00960311
4,1736.94,1.70133,1.91307,1.4604,0.58062,0.40561,0.44423,0.23946,1.58826,1.59223,1.39203,0.009406,0.009406,0.009406
5,2160.23,1.63554,1.78974,1.42315,0.58654,0.43157,0.47654,0.26493,1.54215,1.5129,1.35617,0.009208,0.009208,0.009208
6,2586.2,1.59788,1.71455,1.39808,0.61001,0.45265,0.49475,0.27697,1.48971,1.45247,1.32805,0.00901,0.00901,0.00901
7,3011.52,1.55576,1.63229,1.3692,0.62616,0.46405,0.51923,0.30111,1.4515,1.38147,1.30181,0.008812,0.008812,0.008812
8,3436.81,1.53655,1.61002,1.35322,0.63301,0.4671,0.52687,0.30636,1.42854,1.36013,1.28118,0.008614,0.008614,0.008614
9,3861.63,1.50428,1.56613,1.34028,0.66692,0.49675,0.56176,0.33057,1.40243,1.28966,1.25936,0.008416,0.008416,0.008416
10,4287.3,1.49233,1.52269,1.33174,0.63341,0.49142,0.54581,0.32424,1.38832,1.28778,1.2526,0.008218,0.008218,0.008218
11,4713.4,1.47171,1.49694,1.31922,0.67626,0.51103,0.58055,0.34834,1.36636,1.22991,1.23827,0.00802,0.00802,0.00802
12,5140.7,1.46536,1.47754,1.31406,0.69263,0.51846,0.59023,0.35316,1.35082,1.21673,1.22414,0.007822,0.007822,0.007822
13,5565.14,1.45162,1.44233,1.29745,0.69517,0.5254,0.59876,0.36432,1.3407,1.18883,1.21779,0.007624,0.007624,0.007624
14,5989.13,1.43755,1.43126,1.29293,0.70507,0.53453,0.61178,0.37028,1.33232,1.16864,1.21573,0.007426,0.007426,0.007426
15,6413.61,1.42435,1.40177,1.28618,0.71334,0.53745,0.61539,0.37872,1.30989,1.14214,1.19703,0.007228,0.007228,0.007228
16,6839.47,1.40732,1.37977,1.27336,0.7175,0.54069,0.62134,0.38337,1.29412,1.12465,1.18735,0.00703,0.00703,0.00703
17,7266.53,1.40894,1.38013,1.27692,0.71007,0.55031,0.62714,0.3888,1.29026,1.11245,1.18124,0.006832,0.006832,0.006832
18,7690.55,1.40052,1.3591,1.26806,0.72136,0.55172,0.63237,0.39503,1.27292,1.08994,1.17499,0.006634,0.006634,0.006634
19,8114.37,1.38068,1.33335,1.25822,0.732,0.55248,0.64053,0.39911,1.26611,1.08235,1.17185,0.006436,0.006436,0.006436
20,8538.03,1.37309,1.31501,1.25181,0.72579,0.56388,0.64612,0.40447,1.25616,1.06807,1.16783,0.006238,0.006238,0.006238
21,8963.43,1.37065,1.31549,1.24899,0.74081,0.56454,0.6504,0.40793,1.24865,1.05331,1.15894,0.00604,0.00604,0.00604
22,9388.82,1.36811,1.30428,1.24724,0.73603,0.56829,0.65375,0.4129,1.23512,1.04464,1.15451,0.005842,0.005842,0.005842
23,9814.84,1.34892,1.28645,1.24122,0.74518,0.57011,0.66026,0.41781,1.23272,1.03152,1.14911,0.005644,0.005644,0.005644
24,10238.6,1.34801,1.27222,1.23518,0.74774,0.5715,0.66321,0.42066,1.22333,1.02496,1.14258,0.005446,0.005446,0.005446
25,10664.9,1.34247,1.26763,1.23378,0.75246,0.57024,0.66614,0.42507,1.21396,1.01556,1.14111,0.005248,0.005248,0.005248
26,11089.1,1.32794,1.24659,1.22516,0.74777,0.58559,0.67198,0.42975,1.2095,1.00078,1.13586,0.00505,0.00505,0.00505
27,11512.5,1.32636,1.24664,1.22334,0.74812,0.58403,0.67567,0.43491,1.19846,0.99092,1.12714,0.004852,0.004852,0.004852
28,11936.7,1.31766,1.22846,1.21789,0.7477,0.59243,0.68164,0.43987,1.19184,0.97569,1.12249,0.004654,0.004654,0.004654
29,12360.1,1.31242,1.22233,1.2103,0.75464,0.59382,0.68509,0.44268,1.19138,0.96999,1.123,0.004456,0.004456,0.004456
30,12784.8,1.30606,1.20971,1.21185,0.75477,0.59647,0.68692,0.44543,1.18344,0.96927,1.11738,0.004258,0.004258,0.004258
31,13208.5,1.30104,1.19864,1.20977,0.76631,0.59598,0.69246,0.44882,1.17846,0.95514,1.11409,0.00406,0.00406,0.00406
32,13635.7,1.29715,1.18684,1.20244,0.76513,0.60109,0.69611,0.45203,1.17328,0.94652,1.11189,0.003862,0.003862,0.003862
33,14061,1.29189,1.18422,1.20325,0.76969,0.60154,0.69695,0.4554,1.16574,0.94174,1.10661,0.003664,0.003664,0.003664
34,14484.4,1.28012,1.16813,1.19391,0.76598,0.60675,0.70073,0.45934,1.1612,0.93301,1.10418,0.003466,0.003466,0.003466
35,14910.8,1.28135,1.17164,1.19578,0.77361,0.60672,0.7039,0.46183,1.15805,0.92676,1.10234,0.003268,0.003268,0.003268
36,15335.8,1.26585,1.14584,1.18692,0.77318,0.61018,0.70666,0.46452,1.15157,0.92106,1.0982,0.00307,0.00307,0.00307
37,15762,1.26646,1.14675,1.18554,0.7769,0.61331,0.70929,0.46675,1.14949,0.91395,1.09447,0.002872,0.002872,0.002872
38,16185.3,1.25536,1.12995,1.17934,0.77456,0.61531,0.71136,0.46906,1.1446,0.90729,1.09131,0.002674,0.002674,0.002674
39,16609.3,1.25453,1.12569,1.18053,0.77228,0.61723,0.71371,0.47144,1.14172,0.90237,1.09088,0.002476,0.002476,0.002476
40,17032.9,1.24107,1.11432,1.17538,0.77583,0.62053,0.71721,0.47371,1.13934,0.8965,1.08891,0.002278,0.002278,0.002278
41,17459.3,1.26311,1.08843,1.17334,0.7707,0.61989,0.71606,0.47377,1.13908,0.89842,1.08802,0.00208,0.00208,0.00208
42,17884.2,1.24734,1.06212,1.16111,0.77496,0.61891,0.71679,0.47547,1.13673,0.89492,1.0867,0.001882,0.001882,0.001882
43,18308.5,1.23997,1.05508,1.16136,0.77386,0.62294,0.71862,0.47729,1.13454,0.88901,1.08581,0.001684,0.001684,0.001684
44,18733.5,1.22949,1.03236,1.15374,0.77627,0.62575,0.72121,0.4792,1.13127,0.88367,1.08342,0.001486,0.001486,0.001486
45,19155.9,1.226,1.02947,1.15274,0.77972,0.62566,0.72249,0.48044,1.1276,0.87988,1.08065,0.001288,0.001288,0.001288
46,19581.8,1.22333,1.01481,1.1503,0.78043,0.62665,0.72514,0.48269,1.12638,0.8758,1.07958,0.00109,0.00109,0.00109
47,20004.4,1.20671,1.0051,1.14113,0.78045,0.62767,0.72604,0.48419,1.12394,0.87239,1.07795,0.000892,0.000892,0.000892
48,20428,1.20516,0.99257,1.13726,0.78075,0.63079,0.72769,0.48536,1.12202,0.8693,1.07644,0.000694,0.000694,0.000694
49,20850.3,1.20065,0.98604,1.13476,0.78036,0.63136,0.72882,0.48642,1.12064,0.86646,1.07475,0.000496,0.000496,0.000496
50,21273.7,1.19295,0.96952,1.12891,0.77961,0.63294,0.72936,0.48725,1.11878,0.86347,1.07323,0.000298,0.000298,0.000298
