epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.0476,1.31298,2.63061,3.83946,1.40772,0.50762,0.18536,0.19019,0.1388,0.4988,0.19256,0.19067,0.13057,1.06961,1.94896,2.46676,1.23882,0.000123177,0.000123177,0.000123177
2,168.976,1.14355,2.0513,2.4517,1.25599,0.44154,0.48825,0.37474,0.27366,0.44326,0.4866,0.37506,0.26001,0.98187,1.66547,1.52452,1.15775,0.00024407,0.00024407,0.00024407
3,249.163,1.05451,1.8936,1.90653,1.19157,0.39997,0.63141,0.48709,0.36813,0.40485,0.63673,0.49593,0.35544,0.9048,1.5153,1.31613,1.10446,0.000362521,0.000362521,0.000362521
4,328.33,1.01813,1.80329,1.67888,1.16024,0.43979,0.65071,0.52298,0.39996,0.44106,0.65679,0.52727,0.38289,0.85775,1.44995,1.16797,1.08766,0.000359011,0.000359011,0.000359011
5,407.697,0.97397,1.7201,1.5234,1.13174,0.56007,0.63323,0.57203,0.44172,0.56548,0.64076,0.57436,0.4169,0.83648,1.44319,1.09805,1.06308,0.000355348,0.000355348,0.000355348
6,487.765,0.95145,1.65217,1.43882,1.11729,0.51677,0.71909,0.60419,0.47585,0.52159,0.72622,0.61069,0.45317,0.79587,1.37991,1.02536,1.04215,0.000351685,0.000351685,0.000351685
7,567.308,0.92079,1.60315,1.34455,1.10005,0.53742,0.70954,0.61758,0.48758,0.54174,0.71453,0.62285,0.46545,0.78388,1.35155,0.97038,1.0298,0.000348022,0.000348022,0.000348022
8,646.858,0.90365,1.57191,1.2878,1.09129,0.49748,0.68034,0.57974,0.45656,0.50416,0.68941,0.58611,0.4364,0.79473,1.32275,1.1069,1.03648,0.000344359,0.000344359,0.000344359
9,726.575,0.88568,1.53817,1.23888,1.0794,0.53607,0.7455,0.61632,0.4857,0.54543,0.74047,0.61623,0.46526,0.75991,1.29078,0.96906,1.01633,0.000340696,0.000340696,0.000340696
10,806.472,0.87557,1.52024,1.18814,1.07766,0.51028,0.73151,0.60838,0.4804,0.51228,0.7356,0.61119,0.46038,0.76451,1.29438,0.98628,1.01706,0.000337033,0.000337033,0.000337033
11,886.285,0.86459,1.4849,1.17212,1.06656,0.54176,0.74997,0.6268,0.49911,0.54431,0.75066,0.62622,0.46945,0.74357,1.25191,0.90916,0.99983,0.00033337,0.00033337,0.00033337
12,965.709,0.85078,1.45504,1.12601,1.06001,0.57948,0.76747,0.64755,0.5175,0.58662,0.77373,0.65497,0.50186,0.73421,1.20967,0.83906,1.00014,0.000329707,0.000329707,0.000329707
