epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,168.704,1.49645,2.35559,1.14171,0.67496,0.48359,0.53539,0.3628,1.52988,1.60316,1.15914,0.000555277,0.000555277,0.000555277
2,328.131,1.56968,1.82408,1.19451,0.6594,0.46927,0.51926,0.35509,1.52428,1.55108,1.16194,0.00108895,0.00108895,0.00108895
3,486.162,1.58459,1.71992,1.20473,0.63259,0.50346,0.54928,0.37465,1.52547,1.50882,1.17206,0.00160061,0.00160061,0.00160061
4,644.535,1.55324,1.64449,1.19142,0.65351,0.51551,0.57028,0.39241,1.50289,1.44588,1.15021,0.00156798,0.00156798,0.00156798
5,802.928,1.52649,1.56802,1.1725,0.70009,0.5446,0.6005,0.42287,1.41451,1.36055,1.12236,0.00153497,0.00153497,0.00153497
6,960.694,1.49565,1.53527,1.16586,0.7253,0.55356,0.60933,0.40846,1.45705,1.3472,1.15427,0.00150197,0.00150197,0.00150197
7,1118.29,1.46369,1.4785,1.14268,0.74448,0.55313,0.62455,0.44119,1.40446,1.26361,1.09888,0.00146896,0.00146896,0.00146896
8,1277.01,1.44237,1.42458,1.14236,0.70981,0.57622,0.62731,0.43791,1.40683,1.26327,1.11119,0.00143595,0.00143595,0.00143595
9,1433.39,1.43465,1.40807,1.13137,0.72689,0.57586,0.63888,0.45175,1.37625,1.20884,1.08256,0.00140295,0.00140295,0.00140295
10,1589.3,1.41665,1.36867,1.13082,0.75944,0.58666,0.65858,0.46404,1.35505,1.16379,1.07912,0.00136994,0.00136994,0.00136994
11,1746.37,1.41266,1.34394,1.11918,0.72901,0.5766,0.63965,0.45539,1.35226,1.17891,1.08874,0.00133693,0.00133693,0.00133693
12,1903.43,1.40147,1.31261,1.11845,0.75666,0.58455,0.65241,0.46287,1.36163,1.16101,1.08211,0.00130393,0.00130393,0.00130393
13,2060.01,1.36882,1.27717,1.09518,0.72828,0.57474,0.64705,0.45976,1.32652,1.15446,1.06276,0.00127092,0.00127092,0.00127092
14,2216.62,1.37593,1.27601,1.09979,0.76512,0.60771,0.6805,0.49018,1.31022,1.09582,1.05707,0.00123791,0.00123791,0.00123791
15,2373.77,1.37111,1.25406,1.1032,0.75901,0.6098,0.67844,0.48763,1.31375,1.08896,1.0613,0.00120491,0.00120491,0.00120491
16,2529.75,1.34366,1.24817,1.09597,0.75208,0.62121,0.68436,0.49487,1.29982,1.08333,1.05523,0.0011719,0.0011719,0.0011719
17,2686.97,1.33421,1.21648,1.0843,0.76161,0.61531,0.68655,0.49547,1.28877,1.06539,1.04442,0.00113889,0.00113889,0.00113889
18,2844.69,1.3369,1.21588,1.083,0.76782,0.61135,0.68781,0.49321,1.2927,1.05513,1.05706,0.00110589,0.00110589,0.00110589
19,3002.07,1.33196,1.18878,1.08032,0.79457,0.62856,0.70672,0.50738,1.27739,1.01994,1.03745,0.00107288,0.00107288,0.00107288
20,3158.88,1.3306,1.18114,1.07963,0.76501,0.63919,0.70901,0.50813,1.27489,1.00452,1.04108,0.00103987,0.00103987,0.00103987
21,3315.39,1.32233,1.17304,1.06995,0.77537,0.63961,0.70874,0.51097,1.25814,1.00431,1.03316,0.00100687,0.00100687,0.00100687
22,3473.71,1.2997,1.14037,1.07102,0.78922,0.64259,0.71766,0.51462,1.26908,0.99685,1.03487,0.000973861,0.000973861,0.000973861
23,3631.11,1.3072,1.14719,1.07381,0.79249,0.64726,0.72277,0.52227,1.24433,0.97836,1.02714,0.000940855,0.000940855,0.000940855
24,3787.09,1.28217,1.12722,1.06282,0.80291,0.6473,0.72198,0.51955,1.24897,0.96821,1.02665,0.000907848,0.000907848,0.000907848
25,3942.79,1.2915,1.10682,1.06454,0.80212,0.64567,0.72414,0.52832,1.24162,0.95641,1.01773,0.000874842,0.000874842,0.000874842
26,4097.72,1.29124,1.12313,1.0568,0.78848,0.65039,0.72664,0.53123,1.22077,0.94909,1.01586,0.000841835,0.000841835,0.000841835
27,4252.08,1.28352,1.10822,1.05913,0.80272,0.66054,0.73354,0.53788,1.22156,0.93659,1.01293,0.000808828,0.000808828,0.000808828
28,4406.4,1.2733,1.08825,1.05551,0.79427,0.65859,0.7336,0.53921,1.21837,0.93354,1.01267,0.000775822,0.000775822,0.000775822
29,4562.05,1.27292,1.07474,1.05406,0.80567,0.67133,0.74213,0.54021,1.2123,0.91924,1.00667,0.000742815,0.000742815,0.000742815
30,4716.97,1.26383,1.07933,1.05392,0.80653,0.66888,0.74199,0.54701,1.20397,0.91608,1.00414,0.000709809,0.000709809,0.000709809
31,4872.42,1.26266,1.05616,1.04267,0.7978,0.67322,0.73989,0.54266,1.20826,0.91548,1.00693,0.000676802,0.000676802,0.000676802
32,5026.82,1.25501,1.05468,1.04465,0.80727,0.67685,0.74767,0.55241,1.19205,0.89074,0.99806,0.000643795,0.000643795,0.000643795
33,5181.82,1.245,1.05873,1.04211,0.80286,0.68211,0.75049,0.55418,1.19412,0.88389,0.99972,0.000610789,0.000610789,0.000610789
